Temperature,MR,BelowLCT,AboveUCT
20.5,7.25,7.25,
20.5,8.12,8.12,
20.5,8.87,8.87,
25,7.04,7.04,
25.1,6.4,6.4,
25.5,6.37,6.37,
25.5,7.92,7.92,
25.6,4.77,4.77,
26.1,4.76,4.76,
29.7,4.22,4.22,
29.9,3.45,3.45,
29.9,3.48,3.48,
30,4.1,4.1,
32,4.28,4.28,
32.1,2.93,2.93,
33.1,3.11,3.11,
33.5,3.57,3.57,
34.1,2.96,2.96,
34.5,3.93,3.93,3.93
34.8,3.63,3.63,3.63
35,3.46,3.46,3.46
35.1,3.43,3.43,3.43
37.4,4.02,,4.02
37.4,3.46,,3.46
37.5,3.86,,3.86
37.7,4.31,,4.31
40,5.36,,5.36
40.1,4.36,,4.36
40.5,4.66,,4.66
40.5,4.8,,4.8
