Temperature,MR_ml/g/h,BelowLCT,AboveUCT,BelowVO2,AboveVO2
20.5,7.25,7.25,,0.358875,
20.5,8.12,8.12,,0.40194,
20.5,8.87,8.87,,0.439065,
25,7.04,7.04,,0.34848,
25.1,6.4,6.4,,0.3168,
25.5,6.37,6.37,,0.315315,
25.5,7.92,7.92,,0.39204,
25.6,4.77,4.77,,0.236115,
26.1,4.76,4.76,,0.23562,
29.7,4.22,4.22,,0.20889,
29.9,3.45,3.45,,0.170775,
29.9,3.48,3.48,,0.17226,
30,4.1,4.1,,0.20295,
32,4.28,4.28,,0.21186,
32.1,2.93,2.93,,0.145035,
33.1,3.11,3.11,,0.153945,
33.5,3.57,3.57,,0.176715,
34.1,2.96,2.96,,0.14652,
34.5,3.93,3.93,3.93,0.194535,0.194535
34.8,3.63,3.63,3.63,0.179685,0.179685
35,3.46,3.46,3.46,0.17127,0.17127
35.1,3.43,3.43,3.43,0.169785,0.169785
37.4,4.02,,4.02,,0.19899
37.4,3.46,,3.46,,0.17127
37.5,3.86,,3.86,,0.19107
37.7,4.31,,4.31,,0.213345
40,5.36,,5.36,,0.26532
40.1,4.36,,4.36,,0.21582
40.5,4.66,,4.66,,0.23067
40.5,4.8,,4.8,,0.2376
