RH mlO2/min,BBLH mlO2/min,BCHU mlO2/min
4.229,2.513,3.081
3.448,1.975,3.197
4.539,1.972,3.707
4.132,2.312,3.327
3.525,1.504,2.592
3.164,2.349,2.708
2.672,2.271,2.786
3.372,2.12,3.487
3.352,1.821,3.066
,1.865,3.272
,1.038,3.389
,1.877,2.103
,5.771,3.005
,2.437,2.302
,2.772,3.188
,2.408,3.535
,2.551,3.6
,2.44,3.399
,2.715,2.778
,2.171,1.786
,2.04,1.98
,2.7,2.612
,3.123,1.452
,2.142,2.596
,2.544,2.988
,2.3,
,1.935,
,2.542,
,2.194,
,1.24,
,2.458,
,2.186,
,2.579,
,2.654,
,1.813,
,1.8,
,1.602,
,1.879,
,2.92,
,2.682,
,2.265,
,2.179,
,2.057,
,2.224,
,2.642,
,2.11,
,1.163,
,3.309,
,0.764,
,1.16,
,2.115,
,2.442,
,1.853,
,2.065,
,1.972,
,1.374,
,1.676,
,2.191,
,2.35,
,2.176,
,2.875,
,2.663,
,1.97,
,1.464,
,1.847,
,1.394,
,1.951,
,1.31,
,1.519,
,1.093,
,1.289,
,1.485,
,1.817,
,2.147,
,1.555,
,1.182,
