ID,Site,Sp_sex,Sex,Initial_mass,Release_Mass,Final_mass,dose_mL,dose_g,kJ/day*g
E21A/B,Maquipucuna,GCB,Male,8.32,8.43,8.57,0.016,0.018133333,8.196881991
E67A/B,Maquipucuna,GCB,Male,8.69,9.46,8.99,0.016,0.018133333,8.606434365
E72A/B,Maquipucuna,WNJ,Male,7.41,7.61,7.45,0.014,0.015866667,5.285881321
E95A/B,Maquipucuna,WNJ,Male,7.2,7.34,7.39,0.014,0.015866667,14.51958778
E43A/B,Santa Lucia,EB,Male,9.26,none,9.36,0.02,0.022666667,10.28149834
E60A/B,Santa Lucia,EB,Male,9.7,10.08,9.65,0.02,0.022666667,9.869020747
E147A/B,Santa Lucia,EB,Male,9.75,9.68,9.89,0.02,0.022666667,9.370667518
E122A/B,Santa Lucia,EB,Male,9.63,9.83,9.91,0.02,0.022666667,12.21342543
E151A/B,Santa Lucia,EB,Male,9.55,9.9,9.49,0.02,0.022666667,10.67159299
E108A/B,Santa Lucia,EB,Female,9.48,10.21,9.94,0.02,0.022666667,19.17990778
E123A/B,Santa Lucia,EB,Female,9.68,10.73,9.91,0.02,0.022666667,11.47468544
E142A/B,Santa Lucia,EB,Female,8.63,8.75,8.76,0.02,0.022666667,12.02926398
E143A/B,Santa Lucia,EB,Female,8.78,8.92,8.93,0.02,0.022666667,11.83032171
E148A/B,Santa Lucia,EB,Female,9.09,8.79,9.3,0.02,0.022666667,12.20318896
E106A/B,Santa Lucia,GCB,Female,8.07,8.1,8.1,0.016,0.018133333,8.591993537
